,id,Track Name,date
0,5aAx2yezTd8zXrkmtKl66Z,Starboy,2017-01-01
1,7BKLCZ1jbUBVqRi2FVlTVw,Closer,2017-01-01
2,4pdPtRcBmOSQDlJ3Fk945m,Let Me Love You,2017-01-01
3,5knuzwU65gJK7IF5yJsuaW,Rockabye (feat. Sean Paul & Anne-Marie),2017-01-01
4,1xznGGDReH1oQq0xzbwXa3,One Dance,2017-01-01
5,343YBumqHu19cGoGARUTsd,Fake Love,2017-01-01
6,6b8Be6ljOzmkOmFslEb23P,24K Magic,2017-01-01
7,5MFzQMkrl1FOOng9tq6R9r,Don't Wanna Know,2017-01-01
8,6fujklziTHa8uoM5OQSfIo,Black Beatles,2017-01-01
9,5GXAXm5YOmYT0kL5jHvYBt,I Feel It Coming,2017-01-01
10,6mICuAdrwEjh6Y6lroV2Kg,Chantaje (feat. Maluma),2017-01-01
11,3NdDpSvN911VPGivFlV5d0,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",2017-01-01
12,5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,2017-01-01
13,4Km5HrUvYTaSUfiSGPJeQR,Bad and Boujee (feat. Lil Uzi Vert),2017-01-01
14,6DNtNfH8hXkqOX1sjqmI7p,Cold Water (feat. Justin Bieber & MØ),2017-01-01
15,04DwTuZ2VBdJCCC5TROn7L,In the Name of Love,2017-01-01
16,4pLwZjInHj3SimIyN9SnOz,Side To Side,2017-01-01
17,78rIJddV4X0HkNAInEcYde,Call On Me - Ryan Riback Extended Remix,2017-01-01
18,6JV2JOEocMgcZxYSZelKcc,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",2017-01-01
19,0QsvXIfqM0zZoerQfsI9lm,Don't Let Me Down,2017-01-01
20,4Hf7WnR761jpxPr5D46Bcd,Treat You Better,2017-01-01
21,3EmmCZoqpWOTY1g2GBwJoR,Just Hold On,2017-01-01
22,1vvNmPOiUuyCbgWmtc6yfm,My Way,2017-01-01
23,1qOLh0tI7trd1zdDKxYZTe,Starving,2017-01-01
24,1PSBzsahR2AKwLJgx8ehBj,Bad Things (with Camila Cabello),2017-01-01
25,6i0V12jOa3mr6uu4WYhUBr,Heathens,2017-01-01
26,27SdWb2rFzO6GWiYDBTD9j,Cheap Thrills,2017-01-01
27,2rizacJSyD9S1IQUxUxnsK,All We Know,2017-01-01
28,4TZy1wLyHec06pwgFYDh1a,Mercy,2017-01-01
29,3AEZUABDXNtecAOSC1qTfo,Reggaetón Lento (Bailemos),2017-01-01
30,7yyRTcZmCiyzzJlNzGC9Ol,Broccoli (feat. Lil Yachty),2017-01-01
31,17Fd6Yb7mSbinKG8LoWfFl,I Took A Pill In Ibiza - Seeb Remix,2017-01-01
32,6rQSrBHf7HlZjtcMZ4S4bO,Safari,2017-01-01
33,0azC730Exh71aQlOt9Zj3y,This Is What You Came For,2017-01-01
34,4tCtwWceOPWzenK2HAIJSb,Work from Home (feat. Ty Dolla $ign),2017-01-01
35,0prNGof3XqfTvNDxHonvdK,Scars To Your Beautiful,2017-01-01
36,7DM4BPaS7uofFul3ywMe46,Vente Pa' Ca,2017-01-01
37,4b4KcovePX8Ke2cLIQTLM0,All Night,2017-01-01
38,1D3ODoXHBLpdxolZRHWV1j,By Your Side,2017-01-01
39,68EMU2RD1ECNeOeJ5qAXCV,We Don't Talk Anymore (feat. Selena Gomez),2017-01-01
40,7FB8l7UA1HKqnuSLjP9qDc,Caroline,2017-01-01
41,08WPvDEsHvTFuB9w8tC2OS,Now and Later,2017-01-01
42,6nxQdXa1uAL0rY72wPZu89,Love Me Now,2017-01-01
43,7aV2mflaASUmGhCErm7kBO,The Mack,2017-01-01
44,0JiVRyTJcJnmlwCZ854K4p,Alone,2017-01-01
45,14WWzenpaEgQZlqPq2nk4v,Work,2017-01-01
46,3QwBODjSEzelZyVjxPOHdq,Otra vez (feat. J Balvin),2017-01-01
47,4Q4jmPHwu0wrJvqrld0FQ6,I Would Like,2017-01-01
48,1a5Yu5L18qNxVhXx38njON,Hear Me Now,2017-01-01
49,1cG0umU5TKStygKsPFZ9pY,Shed a Light,2017-01-01
50,0SGkqnVQo9KPytSri1H6cF,Bounce Back,2017-01-01
51,3hB5DgAiMAQ4DzYbsMq1IT,Love Yourself,2017-01-01
52,2aFiaMXmWsM3Vj72F9ksBl,Cake By The Ocean,2017-01-01
53,4F7A0DXBrmUAkp32uenhZt,Party Monster,2017-01-01
54,69bp2EbF7Q2rqc5N3ylezZ,Sorry,2017-01-01
55,2Z8WuEywRWYTKe1NybPQEW,Ride,2017-01-01
56,0sXvAOmXgjR2QUqLK1MltU,La Bicicleta,2017-01-01
57,5bZtRlMBU76vHuDOb1GM5u,Perfect Strangers,2017-01-01
58,5OOkp4U9P9oL23maHFHL1h,Panda,2017-01-01
59,11KJSRSgaDxqydKYiD2Jew,Too Good,2017-01-01
60,5hYTyyh2odQKphUbMqc5gN,"How Far I'll Go - From ""Moana""",2017-01-01
61,3AsAuGTaDQzavZZThyYlop,Sexual,2017-01-01
62,7yHEDfrJNd0zWOfXwydNH0,Into You,2017-01-01
63,3CRDbSIZ4r5MsZ0YwxuEkn,Stressed Out,2017-01-01
64,6I6NX6tjGsxFAsIfGzY9lJ,Deja Vu,2017-01-01
65,58IL315gMSTD37DOZPJ2hf,Shaky Shaky,2017-01-01
66,7gHs73wELdeycvS48JfIos,Faded,2017-01-01
67,7xHWNBFm6ObGEQPaUxHuKO,The Greatest,2017-01-01
68,6F609ICg9Spjrw1epsAnpa,Controlla,2017-01-01
69,0L7loeTIg6akW84aEQZpCT,Light It Up (feat. Nyla & Fuse ODG) - Remix,2017-01-01
70,5J1c3M4EldCfNxXwrwt8mT,Traicionera,2017-01-01
71,6fwdbPMwP1zVStm8FybmkO,X (feat. Future),2017-01-01
72,4BHzQ9C00ceJxfG16AlNWb,Send My Love (To Your New Lover),2017-01-01
73,1lItf5ZXJc1by9SbPeljFd,Juju On That Beat (TZ Anthem),2017-01-01
74,6YZdkObH88npeKrrkb8Ggf,DUELE EL CORAZON,2017-01-01
75,1OAiWI2oPmglaOiv9fdioU,Hymn for the Weekend - Seeb Remix,2017-01-01
76,7vRriwrloYVaoAe3a9wJHe,"i hate u, i love u (feat. olivia o'brien)",2017-01-01
77,4dASQiO1Eoo3RJvt74FtXB,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",2017-01-01
78,6HUnnBwYZqcED1eQztxMBN,Solo Dance,2017-01-01
79,5uDASfU19gDxSjW8cnCaBp,Chill Bill,2017-01-01
80,0EPxmvsG1BY5td4aTOkWBF,Deu Onda,2017-01-01
81,2CPqh63wRVscbceKcPxwvv,The Ocean (feat. Shy Martin),2017-01-01
82,1Tt4sE4pXi57mTD1GCzsqm,Needed Me,2017-01-01
83,58zsLZPvfflaiIbNWoA22O,Human,2017-01-01
84,0B8B8cVRFIG1yznoQe7c9s,Setting Fires,2017-01-01
85,6bLopGnirdrilrpdVB6Um1,The Greatest,2017-01-01
86,7129iqBafaphfc3WPCGC0L,7 Years,2017-01-01
87,0tICYNayWWhH9GPeFrfjfD,This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners,2017-01-01
88,4ckuS4Nj4FZ7i3Def3Br8W,Sneakin’,2017-01-01
89,7JYsArznYOjX2jsrT3UEnL,OOOUUU,2017-01-01
90,2wDjpPW3HZdA9quPPmZAMu,Trust Nobody (feat. Selena Gomez & Tory Lanez),2017-01-01
91,2BrzlUj1u1CtvaJDGIKpsP,Make Me (Cry),2017-01-01
92,2HzfRSfCogBSsgW2CckVA2,Lot to Learn,2017-01-01
93,6OZh916QF8XNunWaP97WEZ,Fast Car,2017-01-01
94,0v9Wz8o0BT8DU38R4ddjeH,No Problem (feat. Lil Wayne & 2 Chainz),2017-01-01
95,4vb4mFvYsr2h6enhjJsq9Y,Water Under the Bridge,2017-01-01
96,0YHUITU3w6ws1v8ehT264g,Shout Out to My Ex,2017-01-01
97,4gmmRb6bZJffOOiww1JGTO,No Heart,2017-01-01
98,4OZEu0Vwq0RB2LAq14v99n,Middle,2017-01-01
99,20ZAJdsKB5IGbGj4ilRt2o,Dile Que Tu Me Quieres,2017-01-01
100,40YcuQysJ0KlGQTeGUosTC,"Me, Myself & I",2017-01-01
101,2XMTqoHHSH0lvuXrvIEdco,Capsize,2017-01-01
102,5ChkMS8OtdzJeqyybCc9R5,Billie Jean,2017-01-01
103,4WjH9Bzt3kx7z8kl0awxh4,Lean On (feat. MØ & DJ Snake),2017-01-01
104,6stYbAJgTszHAHZMPxWWCY,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",2017-01-01
105,6DUdDIRgLqCGq1DwkNWQTN,Borro Cassette,2017-01-01
106,5mey7CLLuFToM2P68Qu1gF,Andas En Mi Cabeza,2017-01-01
107,0hNduWmlWmEmuwEFcYvRu1,Sunset Lover,2017-01-01
108,4h90qkbnW1Qq6pBhoPvwko,Sidewalks,2017-01-01
109,5DA77EqppDmCTWGovd4oTP,Sex,2017-01-01
110,4qqArAiTPueDxIp7cf87h7,Final Song,2017-01-01
111,1CnPYaKxTVb4LWOtiGOm0m,All Time Low,2017-01-01
112,0kN8xEmgMW9mh7UmDYHlJP,Versace on the Floor,2017-01-01
113,4mU5iXHeLgbR94siF7p1sY,Six Feet Under,2017-01-01
114,4nMlau89VAjmV7agkl7OY3,Fresh Eyes,2017-01-01
115,3dQDid3IUNhZy1OehIfYfE,Vacaciones,2017-01-01
116,1AhDOtG9vPSOmsWgNW0BEY,Bohemian Rhapsody - Remastered 2011,2017-01-01
117,20dP2DaMHIAmwWAbp7peSr,pick up the phone,2017-01-01
118,2ANLarE8yHVsLWW21nj79M,You Was Right,2017-01-01
119,40UroIGvsMPLPBYwH8rMNA,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),2017-01-01
120,6O6M7pJLABmfBRoGZMu76Y,Roses,2017-01-01
121,27GmP9AWRs744SzKcpJsTZ,Jumpman,2017-01-01
122,6fxVffaTuwjgEk5h9QyRjy,Photograph,2017-01-01
123,0PDUDa38GO8lMxLCRc4lL1,PILLOWTALK,2017-01-01
124,7w87IxuO7BDcJ3YUqCyMTT,Pumped Up Kicks,2017-01-01
125,3pzjHKrQSvXGHQ98dx18HI,What Do You Mean?,2017-01-01
126,1rIKgCH4H52lrvDcz50hS8,Lush Life,2017-01-01
127,2FBUoWkIuQXwayw2RNo5l6,Hotline Bling,2017-01-01
128,3kxfsdsCpFgN412fpnW85Y,Redbone,2017-01-01
129,0gb1J5UrTpzaU1s3nupgCd,No Money,2017-01-01
130,5b88tNINg4Q4nrRbrCXUmg,"Happy - From ""Despicable Me 2""",2017-01-01
131,4sPmO7WMQUAf45kwMOtONw,Hello,2017-01-01
132,5nA67Y0XX9JipZwYxX7Gl7,This Town,2017-01-01
133,12REd1n8PeiHHWOh066tpr,Never Be Like You,2017-01-01
134,1FUViuNSldssMIawrOXF2i,I Got You,2017-01-01
135,2dOTkLZFbpNXrhc24CnTFd,Titanium (feat. Sia),2017-01-01
136,2MHCiOohBZEQuLgDTPvSzF,Love on Me,2017-01-01
137,3bidbhpOYeV4knp8AIu8Xn,Can't Hold Us - feat. Ray Dalton,2017-01-01
138,5hEM0JchdVzQ5PwvSfITeX,Me Llamas (feat. Maluma) - Remix,2017-01-01
139,04CttTezSnv71USiiG9mIo,Lighthouse - Andrelli Remix,2017-01-01
140,1Slwb6dOYkBlWal1PGtnNg,Thinking out Loud,2017-01-01
141,3b0EOvScbZUc0qJx0E1L2z,I Want You Back,2017-01-01
142,3E2Zh20GDCR9B1EYjfXWyv,Weak,2017-01-01
143,1WP1r7fuvRqZRnUaTi2I1Q,Stitches,2017-01-01
144,0utlOiJy2weVl9WTkcEWHy,Neighbors,2017-01-01
145,02WacdrRpm4zlP8H7X6bnQ,Dancing On My Own,2017-01-01
146,2EEeOnHehOozLq4aS0n6SL,iSpy (feat. Lil Yachty),2017-01-01
147,2Ae5awwKvQpTBKQHr1TYCg,Dynamite (feat. Pretty Sister),2017-01-01
148,2H3ZUSE54pST4ubRd5FzFR,Ain't No Mountain High Enough,2017-01-01
149,0ADG9OgdVTL7fgREP75BrZ,Ain't My Fault,2017-01-01
150,6WhzFzROw3aq3rPWjgYlxr,Gold,2017-01-01
151,7EiZI6JVHllARrX9PUvAdX,Low Life,2017-01-01
152,1AkTW13ysu0AJrwuM6UY0I,Gyal You A Party Animal - Remix,2017-01-01
153,1Bqxj0aH5KewYHKUg1IdrF,Some Kind Of Drug,2017-01-01
154,5Fim1gaXBgsiFfsQAfQSDS,Hasta el Amanecer,2017-01-01
155,6RsWqX8zABZLhZydXxEFOm,Can't Feel My Face,2017-01-01
156,2aksifNn5ph8igDOkPBA02,Love On The Brain,2017-01-01
157,1pWYnQIlqxTh5bxuPmTG4E,Desde Esa Noche,2017-01-01
158,37F0uwRSrdzkBiuj0D5UHI,Reminder,2017-01-01
159,0JoHqmlqE0W0i9prt6kcHR,Cuatro Babys,2017-01-01
160,6Knv6wdA0luoMUuuoYi2i1,My House,2017-01-01
161,62vpWI1CHwFy7tMIcSStl8,No Role Modelz,2017-01-01
162,25khomWgBVamSdKw7hzm3l,The Hills,2017-01-01
163,6mapJIPnQ23RTAevUoE0DL,Swang,2017-01-01
164,5T8EDUDqKcs6OSOwEsfqG7,Don't Stop Me Now - Remastered,2017-01-01
165,0lmdsH1MIoLsMymnNpd6HU,Let Me Hold You (Turn Me On),2017-01-01
166,32OlwWuMpZ6b0aN2RZOeMS,Uptown Funk,2017-01-01
167,0OMRAvrtLWE2TvcXorRiB9,La Gozadera,2017-01-01
168,4sQMalN597HdggTu196aL0,Say It (feat. Tove Lo),2017-01-01
169,6gBFPUFcJLzWGx4lenP6h2,goosebumps,2017-01-01
170,0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,2017-01-01
171,7zTx8ePYAmPFQuxP3xlXZn,Light,2017-01-01
172,6AGON2BGdPmPMJGiiNuuwl,Immortal,2017-01-01
173,1lxswgIpzV6HhENRvkflES,Chillax (feat. Ky-Mani Marley),2017-01-01
174,2s76aKBWKShlwPC4xTtEEE,Wake Up Where You Are,2017-01-01
175,4PdJSsESm34djLfBde9Pr2,Would I Lie to You - Radio Edit,2017-01-01
176,3cNjgVBKTJ1SvKhunrCdVy,Please Don't Go,2017-01-01
177,36YCdzT57us0LhDmCYtrNE,Rockin’,2017-01-01
178,5tf1VVWniHgryyumXyJM7w,Sugar (feat. Francesco Yates),2017-01-01
179,3RiPr603aXAoi4GHyXx0uy,Hymn for the Weekend,2017-01-01
180,0OwX5aROoW1Iip8FV51Efg,Alarm,2017-01-01
181,4QdovcM8j50QPlyR7tH4xe,You & Me,2017-01-01
182,3cFsmM51N5zMAuu1nNY4Tw,No Lie,2017-01-01
183,7AtlMCIauSQZqiXSlbBPW6,Bobo,2017-01-01
184,2FiSTH0GYpIioUgjfzMIja,Stay (feat. Maty Noyes),2017-01-01
185,78sr3ogs4UzITcCNbXM9cM,Used to This,2017-01-01
186,6JyuJFedEvPmdWQW0PkbGJ,Purple Lamborghini (with Rick Ross),2017-01-01
187,5dKyZWlgjWw1oJgLa4GCZD,Cool Girl,2017-01-01
188,7of1slAJIWrXxP8ikAHxje,Miss You,2017-01-01
189,2LBqCSwhJGcFQeTHMVGwy3,Die For You,2017-01-01
190,5Z01UMMf7V1o0MzF86s6WJ,"Lose Yourself - From ""8 Mile"" Soundtrack",2017-01-01
191,1kusepF3AacIEtUTYrw4GV,Paper Planes,2017-01-01
192,13HVjjWUZFaWilh2QUJKsP,Let It Go,2017-01-01
193,19a3JfW8BQwqHWUMbcqSx8,Famous,2017-01-01
194,26hcyzSE154xMZCbFdtInA,Taped up Heart (feat. Clara Mae),2017-01-01
195,6eT7xZZlB2mwyzJ2sUKG6w,White Iverson,2017-01-01
196,1sTUEdVO85YU8Ymk2jeAls,Oh Lord,2017-01-01
197,5lXcSvHRVjQJ3LB2rLKQog,Superstition - Single Version,2017-01-01
198,3DX4Y0egvc0slLcLl31h2p,Secrets,2017-01-01
199,2KpCpk6HjXXLb7nnXoXA5O,Ni**as In Paris,2017-01-01
354,5Ua3GXyHwiSfpNTMjq6m2z,Touch,2017-01-02
362,0FuTx2s3YH1ppmtiM6l0zI,September Song,2017-01-02
367,042x9bsUBWW2fJgJ6fUh61,Not Going Home,2017-01-02
374,50PWlIBU7PlGGwzgN8TiFJ,Million Reasons,2017-01-02
377,2q6tgiA9tpb6DMguABwCWE,All of Me,2017-01-02
378,0L87MffumRNWrY2SNUFcvs,Cocoon,2017-01-02
379,6i759FCuKx713ZnYjtpQGU,True Colors,2017-01-02
380,2jyjhRf6DVbMPU5zxagN2h,Let Her Go,2017-01-02
381,5Db9VIdDsN5yu3Eu7CT0i4,Stay With Me,2017-01-02
382,7IWkJwX9C0J7tHurTD7ViL,When We Were Young,2017-01-02
383,7Kq16WtEJzdRSNQgdXsn7Y,Love$ick (feat. A$AP Rocky),2017-01-02
385,75JFxkI2RXiU7L9VXzMkle,The Scientist,2017-01-02
386,69uxyAqqPIsUyTO8txoP2M,Adventure of a Lifetime,2017-01-02
390,6yr8GiTHWvFfi4o6Q5ebdT,'Till I Collapse,2017-01-02
395,494OU6M7NOf4ICYb4zWCf5,Sugar,2017-01-02
396,7KxhSJOYiqCDclXDBNlFSZ,Kill Em With Kindness,2017-01-02
397,7oK9VyNzrYvRFo7nQEYkWN,Mr. Brightside,2017-01-02
398,3pXF1nA74528Edde4of9CC,Don't,2017-01-02
399,0IqKeD8ZSP72KbGYyzEcAs,Take Me To Church,2017-01-02
580,6cAKeFFYW2aClZSUyvqAEW,It's Gotta Be You,2017-01-03
585,34i4yxPrHWquuR4kjiivFO,Somebody Else,2017-01-03
586,3pjUyVbFmM96tYhSaKJwTt,Change,2017-01-03
589,6t2ubAB4iSYOuIpRAOGd4t,Cake - Challenge Version,2017-01-03
643,5hTpBe8h35rJ67eAWHQsJx,Caroline,2017-01-04
796,05Z7jet4VDNVgNQWcYHnrk,Party,2017-01-04
827,1yNyoWWWikbLhwIGWjZuDW,All Night,2017-01-05
832,43jBqV3j3Xi1g6wO0bhIMd,Now and Later,2017-01-05
843,5GFDrUTLGJix84sNhjCG0g,Caroline,2017-01-05
858,1CUVN2kn7mW5FjkqXTR2W1,Perfect Strangers,2017-01-05
864,3TRFq09DUgYj1mug6RRqJW,Lot to Learn,2017-01-05
976,5v9N8Rx3QsFvr50cxyQcA3,Love$ick,2017-01-05
987,6C7RJEIUDqKkJRZVWdkfkH,Stronger,2017-01-05
1000,7qiZfU4dY1lWllzX7mPBI3,Shape of You,2017-01-06
1001,6PCUP3dWmTjcTtXY02oFdT,Castle on the Hill,2017-01-06
1066,0Zx8khUcEfCFK2AEoIhC92,Don't Leave,2017-01-06
1084,1VdZ0vKfR5jneCmWIUAMxK,The A Team,2017-01-06
1105,728zbo72kOoYdGR3AhNsyF,Say Something Loving,2017-01-06
1119,7ynCQo1KpBOyTdTdAnjSLZ,Move Your Body - Single Mix,2017-01-06
1125,3B7udSGy2PfgoCniMSb523,"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",2017-01-06
1135,2Cth0v1xri32oZ799rL3rl,Feel Me,2017-01-06
1137,6gTJaPuj8DT8RjuDJyBgzP,Don't,2017-01-06
1145,0SuG9kyzGRpDqrCWtgD6Lq,Give Me Love,2017-01-06
1149,2nAAFnHiXRdWhsqoeqhhnr,Rooting For You,2017-01-06
1155,6vSwxzO2Qf4BinHSXRwZJe,Tenerife Sea,2017-01-06
1192,0Fv5N0cHBsl4bzCbollCAS,Moves,2017-01-06
1194,0vbbhcA6okLzvsy6WSTlLg,Lay It All on Me (feat. Ed Sheeran),2017-01-06
1397,3BY2mafsbsoKGqS380Xnuz,Te Quiero Pa´Mi,2017-01-07
1399,0Tel1fmuCxEFV6wBLXsEdk,Kiss Me,2017-01-07
1777,00lNx0OcTJrS3MKHcB80HY,You Don't Know Me - Radio Edit,2017-01-09
1961,6A8dnC0xkiuWN4BshmTB2I,Oceans Away,2017-01-10
2411,72jbDTw1piOOj770jWNeaG,Paris,2017-01-13
2461,33B2QbtAj8mbDpwvGTOnBt,Dangerous,2017-01-13
2476,5CPqOpKSk0QcJ3dGdaWcRB,On Hold,2017-01-13
2505,1uoL9GX45dTnmrWQ7Ii1Ft,Not Afraid Anymore,2017-01-13
2508,4hiUYb2nb6NlfTP9CD38Pe,On My Way,2017-01-13
2509,044qU7kwVZaDwzWnRsmVVL,I Dare You,2017-01-13
2513,1onfcprzpSGh2LqrBh17AA,Lips,2017-01-13
2517,661bbtA19xopO3lH0J4Qvr,A Violent Noise,2017-01-13
2533,4O4xuKdvJvl7HpFlYGwudS,Replica,2017-01-13
2541,53e5O0USYgSCv4md0CXpMY,Brave For You,2017-01-13
2542,5UCsGZSezdlGA1bY3QMgXG,Performance,2017-01-13
2593,3qLwtC9jEWugjkzyZlYgeg,Test Me,2017-01-13
2710,4aWmUDTfIPGksMNLV2rQP2,Despacito (Featuring Daddy Yankee),2017-01-14
2771,0WCEaydwN65cvwaW8aqptF,History,2017-01-14
2782,3SGWp9fJCzgK0WcpcKSQdy,Romantic - NOTD Remix,2017-01-14
2790,1lntL1cI2UIWlxjL5QiN8g,The Other,2017-01-14
2799,7KOlJ92bu51cltsD9KU5I7,T-Shirt,2017-01-14
3189,0zCfmceT1YvtZXGbR6Roht,"Another Day Of Sun - From ""La La Land"" Soundtrack",2017-01-16
3191,0LtVx5vsq9nfpGsWgjUin6,"City Of Stars - From ""La La Land"" Soundtrack",2017-01-16
3362,1sXUWdKx03aP9Gmzft58rt,Issues,2017-01-17
3397,2xbI8Vmyv3TkpTdywpPyNw,Selfish,2017-01-17
3596,5tFep7dXGd7vEJ668wTPux,Both (feat. Drake),2017-01-18
3769,5qqabIl2vWzo9ApSC317sa,Wonderwall - Remastered,2017-01-19
3861,1crSsvtU9wZB15dIQXV2QH,Moving On and Getting Over,2017-01-20
3877,3umS4y3uQDkqekNjVpiRUs,El Amante,2017-01-20
3914,6eIygPhGcBFKKcxlGTJlY0,Changing,2017-01-20
3918,0oiCeOPwm4zhwfyIpAE37y,Love on the Weekend,2017-01-20
3929,4WfjYOo0JxommRm1PyObJl,High For Hours,2017-01-20
3954,51lPx6ZCSalL2kvSrDUyJc,You're Gonna Live Forever in Me,2017-01-20
4199,6HEIBHUirx1J0JkUD24szt,Water,2017-01-21
4599,6Ep6BzIOB9tz3P4sWqiiAB,Radioactive,2017-01-23
4792,3a1lNhkSLSkpJE4MSHpDu9,Congratulations,2017-01-24
4999,5q2JbCNi4FcnglgPfxcV65,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",2017-01-25
5196,1wZqJM5FGDEl3FjHDxDyQd,Come and See Me (feat. Drake),2017-01-26
5231,0fg8CqpjdojMyXLNzM2PaJ,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),2017-01-27
5232,3ebXMykcMXOcLeJ9xZ17XH,Scared to Be Lonely,2017-01-27
5256,54LGxQGf5LPXNGjtzDZ5IE,So Good (feat. Ty Dolla $ign),2017-01-27
5278,76Y0gxtTxN0FyDCYh5qYQj,Get Right Witcha,2017-01-27
5284,0jOfl1nZf6sVBTG08Q4brn,Call Casting,2017-01-27
5299,4oLuMvGQ4WJfU2s4OM6nfE,Culture (feat. DJ Khaled),2017-01-27
5305,6p8NuHm8uCGnn2Dtbtf7zE,Slippery (feat. Gucci Mane),2017-01-27
5311,204U3zjm9kkzX25Pr4Rdld,Kelly Price (feat. Travis Scott),2017-01-27
5332,7sO0dVFCfixpLshm4daMH3,What The Price,2017-01-27
5357,5wihevBA7MO9PNYyWyTfkh,Brown Paper Bag,2017-01-27
5364,3BoPOp7YNORLqMUjE5XAh9,Big On Big,2017-01-27
5367,4AlrLQ2RMxOwz1gTTkb4vQ,Deadz (feat. 2 Chainz),2017-01-27
5373,3MzDvWYbRMAgkOFu5DhNvh,Love Me Better,2017-01-27
5393,5QxqypupYWHrY8IkGCSObQ,All Ass,2017-01-27
5586,3n58u3LOFw8mITLvfPvQBz,Manicomio,2017-01-28
5593,2webQDZmtGioeu3zUUi9We,Traicionera - Remix,2017-01-28
5787,2CvOqDpQIMw69cCzWqr5yr,Halo,2017-01-29
5797,7jltqRIyxLXBDNZ1QlmnBp,"City Of Stars - From ""La La Land"" Soundtrack/Pier",2017-01-29
5981,7xE4vKvjqUTtHyJ9zi0k1q,"Someone In The Crowd - From ""La La Land"" Soundtrack",2017-01-30
5995,1R17cgUv6HeQFa78dzqb7s,"Mia & Sebastian’s Theme - From ""La La Land"" Soundtrack",2017-01-30
6197,0BU7nIcCZxYSE0hYcc5oZz,Too Many Years,2017-01-31
6387,152lZdxL1OR0ZMW6KquMif,Location,2017-02-01
6396,1sl5tSzfK1JrcQIcA8rYDy,I Miss You,2017-02-01
6398,5abwHwUhywLGNli5NDcEN7,Magic,2017-02-01
6564,0CcQNd8CINkwQfe1RDtGV6,Believer,2017-02-02
6578,7mldq42yDuxiUNn08nvzHO,Body Like A Back Road,2017-02-02
6641,1MksGqIztTT6M9R1ErKVs8,No Favors,2017-02-03
6673,4atJ40xfasjdM9ZF3p07BV,Halfway Off The Balcony,2017-02-03
6686,0URaKGzNTtzKRtsJN1RkA9,Light,2017-02-03
6689,1jQsKN68yE94tMYml0wHMd,Jump Out The Window,2017-02-03
6694,1r0faljjM2b876iNoaDUh5,Sacrifices,2017-02-03
6711,1u0MOgWF1bbylVxpJG2ZjB,Owe Me,2017-02-03
6732,3d9JucRI60arArgQXqtfjJ,Falling,2017-02-03
6733,2pzuU8vLaG8W1P31X65ZP9,Voices In My Head/Stick To The Plan,2017-02-03
6735,7yoe9vbbzakNAXwb1UaWLS,Same Time Pt. 1,2017-02-03
6760,35k5ePiDMMdacA7jIF9RFY,Intro,2017-02-03
6763,6zpXc7WJ3TqYWb02B6sKyF,Bigger Than Me,2017-02-03
6764,5VlstKgCJPHDIMCQO4jHcQ,Sunday Morning Jetpack,2017-02-03
6780,7M62jxrvr7UJdo6DchAFf3,Inspire Me,2017-02-03
6784,1KT0xdIjm7t053xByACrrg,美女と野獣,2017-02-03
6795,6wV12xIUb8oFY7lBy4KuQe,Sooner Or Later,2017-02-03
6969,4okba5wu9mMLXx79DXLKi3,La Rompe Corazones,2017-02-04
7358,5P5cGNzqh6A353N3ShDK6Y,Bad Romance,2017-02-06
7360,1QV6tiMFM6fSOKOGLMHYYg,Poker Face,2017-02-06
7369,5ou59ERA2f7ffyAxAcZyVz,Perfect Illusion,2017-02-06
7397,0y1QJc3SJVPKJ1OvFmFqe6,Way Down We Go,2017-02-06
7998,4bHsxqR3GMrXTxEPLuK5ue,Don't Stop Believin',2017-02-09
8009,6520aj0B4FSKGVuKNsOCOi,Chained To The Rhythm,2017-02-10
8122,11Fo4dAH31K7UZHGqCkCmE,I Love You,2017-02-10
8144,3EfugazgSddQvzZpkof5I4,Ciao Adios,2017-02-10
8160,6E39QsoWB7JjphPF9xCQSN,Outlet,2017-02-10
8169,4nDfc6F2uVcc6wdG7kBzWO,"Bom Bidi Bom - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",2017-02-10
8172,5H7CwzYZ60e7w69tX4ivQN,Shape of You - Galantis Remix,2017-02-10
8177,4WdCxlUyj3TCTBaJx5s9tF,Don't Kill My Vibe,2017-02-10
8330,7FCfMXYTIiQ9b4hDYs4Iol,Be The One,2017-02-11
8362,2oUuLLKS8WbF7ELJcwbqms,Look at Me!,2017-02-11
8374,7abpmGpF7PGep2rDU68GBR,Tuesday,2017-02-11
